Object,Actor(s),Type,Count,HWInstances,Inst Sections,Tris,Sum Tris,Size,VC,Inst VC,Avg LM,Avg OL,Sum Avg,Cost,LM,Res,Min R,Max R,Avg R,
SM_Ship,("/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_0'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_1'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_2'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_3'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_4'" "/Game/Tests/Landscape/Kelvin/BP_PlayerShip_Kelvin.BP_PlayerShip_Kelvin_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_PlayerShip_Kelvin_C_1'"),StaticMesh,18,18,576,202441,3643938,38689.117,0,0,0,1,0,0,0,72,2102.747283,2102.747283,37849.451085,
SM_Ship_Rough,("/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_0'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_1'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_2'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_3'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_4'" "/Game/Tests/Landscape/Kelvin/BP_PlayerShip_Kelvin.BP_PlayerShip_Kelvin_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_PlayerShip_Kelvin_C_1'"),StaticMesh,6,6,192,202441,1214646,25259.207,0,0,0,0,0,0,0,24,2102.747283,2102.747283,12616.483695,
Landscape_0,("/Script/Landscape.Landscape'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.Landscape_0'"),Landscape,1,64,64,508032,508032,19709.535,0,0,0,0,0,0,682.625,4096,44547.727386,44681.361576,2852101.236383,
MatineeCam_SM,("/Script/WaterEditor.WaterBrushManager'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.Landscape_WaterBrushManager_1'" "/Game/Tests/Landscape/Kelvin/BP_PlayerShip_Kelvin.BP_PlayerShip_Kelvin_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_PlayerShip_Kelvin_C_1'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_100'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_99'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_0'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_92'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_91'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_1'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_84'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_83'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_2'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_76'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_75'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_3'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_2'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_1'" "/Game/New/Enemy_Ship/Blueprints/BP_EnemyShip.BP_EnemyShip_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BP_EnemyShip_C_4'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_2_GEN_VARIABLE_BP_Cannon_C_CAT_0'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_0'"),StaticMesh,19,19,19,4528,86032,358.482,0,0,0,2,0,0,0,76,0.571554,57.155445,686.436896,
SM_SkySphere,("/Script/Engine.StaticMeshActor'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.StaticMeshActor_0'"),StaticMesh,1,1,1,3968,3968,180.658,0,0,0,0,0,0,2.659,32,1638400.195312,1638400.195312,1638400.195312,
CursorPointer,("/Script/WaterAndShip.ShipBoardingPoint'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BoardingPoint_1_GEN_VARIABLE_ShipBoardingPoint_CAT_1'" "/Script/WaterAndShip.ShipBoardingPoint'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.BoardingPoint_1_GEN_VARIABLE_ShipBoardingPoint_CAT_0'"),StaticMesh,2,2,2,254,508,49.588,0,0,0,2,0,0,0,128,111.803413,111.803413,223.606827,
WaterInfoMesh_2,("/Script/Water.WaterBodyOcean'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.WaterBodyOcean_0'"),StaticMesh,1,1,1,29,29,27.422,0.34,0,0,0,0,0,0.041,4,314000.000000,314000.000000,314000.000000,
Cube,("/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_100'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_99'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_92'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_91'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_84'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_83'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_76'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_75'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_2'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_1'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_2_GEN_VARIABLE_BP_Cannon_C_CAT_0'" "/Game/New/Cannon/BP_Cannon.BP_Cannon_C'/Game/New/Water/Realistic_Water/Realistic_Water.Realistic_Water:PersistentLevel.CannonPoint_1_GEN_VARIABLE_BP_Cannon_C_CAT_0'"),StaticMesh,12,12,12,48,576,21.035,0,0,0,2,0,0,0,768,43.301270,43.301270,519.615234,
,,,60,123,867,921 741,5 457 729,84 295.039,0.34,0,0,0.875,0,0,685.325,650,0.572,1 638 400.195,607 049.628,
